distance_miles,diesel_price,month,dow,total_rate
1957.494516534312,4.987663423609358,7,0,3354.8502551636752
1153.3082554049256,4.282287960853563,6,3,2537.4200155264
2160.635007787318,3.2345642415811477,1,3,4160.053921998409
1773.6832697424734,4.737025001980899,2,5,3675.915668016812
326.0256349303589,2.7534426870312156,8,4,542.5038150336758
2441.493643928214,4.823253503346349,7,1,5223.3803692603
1926.735284776847,4.26995566672904,7,2,3966.559036790929
1986.5543326646891,2.8322509551892048,2,3,3960.3809205698326
407.4727184213101,2.7385166892771107,7,6,730.3352132801476
1180.926250949361,4.752509000309388,1,3,2211.7173975398177
989.915258158195,3.3788077195115114,2,4,1972.251265137135
2324.2359732366444,5.16790555230164,6,5,5084.350721081798
1645.2762881935948,4.786219063090528,8,2,2967.4124005198305
2074.627871849992,4.594570734153148,8,6,3654.0356018324983
1164.1940771855948,3.335818157900353,12,4,2170.5231062150797
645.3729322834645,4.626833557064854,11,5,1288.5887277920544
1431.0034888380035,5.344443053544502,5,5,2924.81780817704
253.1614146500208,2.774679503111707,10,4,383.5938852956787
2086.314812782197,3.4784879260106982,2,0,4048.2460268589093
1615.9945578929555,3.2040167963847823,11,4,2731.1443205645696
1919.410576204897,3.679750403202,5,0,3641.239605982558
950.862323511684,4.726997964561839,10,4,1914.0458367290614
2429.675258547768,3.92272774427616,12,4,4406.151514063573
2243.4906911732746,4.212191818360739,9,3,4013.322970647513
1968.1203929770286,3.442464664235027,12,2,3873.9827520212084
567.1328988447221,2.9238678012613017,1,0,949.9632223289207
1220.130408944882,3.300800946813186,3,4,2343.839733512701
205.12903788934906,5.079040903725961,8,4,342.977915770183
470.29478096211477,4.307250886460231,7,3,872.3368644751532
1739.317487781891,3.633966019591701,2,5,2923.3183911123488
1887.429174178761,4.869717945206762,9,5,3551.0140038716936
2422.023357842104,2.6933722973647263,1,3,4316.861221262366
881.9808595315646,3.261673263767157,12,0,1451.5628320943858
989.1032944836853,3.190309462172018,2,6,1822.342640757342
1226.933947061939,5.4560936865046665,6,3,2711.045272597147
554.7312618022856,4.618295747178281,10,4,859.9872296361535
411.811612805132,4.353357809165662,7,6,789.0149734352653
1241.691822942241,2.5149548958834185,9,2,2060.0513291311636
644.5824377221219,3.0529300062695723,9,4,861.1228533988817
1707.5535872380249,4.406623878919235,12,0,3242.422227866642
1149.1646052935937,3.639157979444997,6,6,1900.1462241051206
2098.4276705388097,5.272841151037182,12,0,3904.713786845445
1780.6362448053978,4.794172657425274,7,3,3124.853859709053
849.6799393168985,3.8421522184123598,11,2,1605.9414021462399
2097.4235233484824,4.748544932614811,9,0,3323.554340263287
2031.4344579923245,5.426212971478664,2,3,3747.4356516779494
1029.9481096724187,3.8829424741044116,8,6,1819.2821688086462
791.9874494325859,4.4275776636656,11,1,1320.0725541786528
